cM,Population,Method,PCs,l2
0,AMR,LDSR,0,0
1,AMR,LDSR,0,27.0532
2,AMR,LDSR,0,32.2594
5,AMR,LDSR,0,44.057
10,AMR,LDSR,0,58.7693
20,AMR,LDSR,0,78.8775
30,AMR,LDSR,0,93.2984
50,AMR,LDSR,0,116.8209
0,AMR,cov-LDSR,2,0
1,AMR,cov-LDSR,2,22.6021
2,AMR,cov-LDSR,2,24.543
5,AMR,cov-LDSR,2,28.18
10,AMR,cov-LDSR,2,31.2788
20,AMR,cov-LDSR,2,33.3205
30,AMR,cov-LDSR,2,33.9883
50,AMR,cov-LDSR,2,34.7283
0,AMR,cov-LDSR,5,0
1,AMR,cov-LDSR,5,22.5851
2,AMR,cov-LDSR,5,24.5382
5,AMR,cov-LDSR,5,28.2085
10,AMR,cov-LDSR,5,31.3443
20,AMR,cov-LDSR,5,33.4683
30,AMR,cov-LDSR,5,34.2308
50,AMR,cov-LDSR,5,35.188
0,AMR,cov-LDSR,10,0
1,AMR,cov-LDSR,10,22.6213
2,AMR,cov-LDSR,10,24.5792
5,AMR,cov-LDSR,10,28.2557
10,AMR,cov-LDSR,10,31.4534
20,AMR,cov-LDSR,10,33.7856
30,AMR,cov-LDSR,10,34.804
50,AMR,cov-LDSR,10,36.2659
0,AMR,cov-LDSR,20,0
1,AMR,cov-LDSR,20,22.4966
2,AMR,cov-LDSR,20,24.3504
5,AMR,cov-LDSR,20,27.8651
10,AMR,cov-LDSR,20,31.0287
20,AMR,cov-LDSR,20,33.7055
30,AMR,cov-LDSR,20,35.2232
50,AMR,cov-LDSR,20,37.695
0,AMR,cov-LDSR,50,0
1,AMR,cov-LDSR,50,22.6334
2,AMR,cov-LDSR,50,24.5068
5,AMR,cov-LDSR,50,28.2158
10,AMR,cov-LDSR,50,31.9644
20,AMR,cov-LDSR,50,36.32
30,AMR,cov-LDSR,50,39.712
50,AMR,cov-LDSR,50,45.9487
0,EUR,LDSR,0,0
1,EUR,LDSR,0,21.6194
2,EUR,LDSR,0,21.8144
5,EUR,LDSR,0,22.0255
10,EUR,LDSR,0,22.2346
20,EUR,LDSR,0,22.5671
30,EUR,LDSR,0,22.8926
50,EUR,LDSR,0,23.5009
0,EUR,cov-LDSR,2,0
1,EUR,cov-LDSR,2,21.4705
2,EUR,cov-LDSR,2,21.6127
5,EUR,cov-LDSR,2,21.7222
10,EUR,cov-LDSR,2,21.7887
20,EUR,cov-LDSR,2,21.875
30,EUR,cov-LDSR,2,21.9808
50,EUR,cov-LDSR,2,
0,EUR,cov-LDSR,5,0
1,EUR,cov-LDSR,5,21.4688
2,EUR,cov-LDSR,5,21.6179
5,EUR,cov-LDSR,5,21.7513
10,EUR,cov-LDSR,5,21.8525
20,EUR,cov-LDSR,5,22.0166
30,EUR,cov-LDSR,5,22.2
50,EUR,cov-LDSR,5,
0,EUR,cov-LDSR,10,0
1,EUR,cov-LDSR,10,21.4824
2,EUR,cov-LDSR,10,21.6475
5,EUR,cov-LDSR,10,21.8252
10,EUR,cov-LDSR,10,21.999
20,EUR,cov-LDSR,10,22.3079
30,EUR,cov-LDSR,10,22.6292
50,EUR,cov-LDSR,10,23.1941
0,EUR,cov-LDSR,20,0
1,EUR,cov-LDSR,20,21.5031
2,EUR,cov-LDSR,20,21.7008
5,EUR,cov-LDSR,20,21.9684
10,EUR,cov-LDSR,20,22.2896
20,EUR,cov-LDSR,20,22.8955
30,EUR,cov-LDSR,20,23.4988
50,EUR,cov-LDSR,20,
0,CLM,LDSR,0,0
1,CLM,LDSR,0,24.6627
2,CLM,LDSR,0,28.3347
5,CLM,LDSR,0,35.5511
10,CLM,LDSR,0,42.2028
20,CLM,LDSR,0,46.975
30,CLM,LDSR,0,48.6379
0,CLM,cov-LDSR,10,0
