window,Method,PCs,L2 
0,LDSC,0,0
0,cov-LDSC,2,0
0,cov-LDSC,5,0
0,cov-LDSC,10,0
0,cov-LDSC,20,0
0,cov-LDSC,50,0
1,LDSC,0,21.1218
1,cov-LDSC,2,18.7699
1,cov-LDSC,5,18.6356
1,cov-LDSC,10,18.3429
1,cov-LDSC,20,18.1542
1,cov-LDSC,50,17.3374
5,LDSC,0,34.2405
5,cov-LDSC,2,25.4066
5,cov-LDSC,5,24.9008
5,cov-LDSC,10,23.8412
5,cov-LDSC,20,23.1746
5,cov-LDSC,50,20.4571
10,LDSC,0,44.0711
10,cov-LDSC,2,29.0863
10,cov-LDSC,5,28.2656
10,cov-LDSC,10,26.5803
10,cov-LDSC,20,25.5539
10,cov-LDSC,50,21.5351
20,LDSC,0,54.8599
20,cov-LDSC,2,31.308
20,cov-LDSC,5,30.161
20,cov-LDSC,10,27.9018
20,cov-LDSC,20,26.6004
20,cov-LDSC,50,21.9109
30,LDSC,0,60.932
30,cov-LDSC,2,31.728
30,cov-LDSC,5,30.4642
30,cov-LDSC,10,28.0899
30,cov-LDSC,20,26.7835
30,cov-LDSC,50,22.3369
50,LDSC,0,69.4276
50,cov-LDSC,2,31.8791
50,cov-LDSC,5,30.5612
50,cov-LDSC,10,28.3071
50,cov-LDSC,20,27.0971
50,cov-LDSC,50,23.0229
